平均價,新北市_降水量,臺中市_降水量,臺南市_降水量,高雄市_降水量,桃園市_降水量,新竹縣_降水量,苗栗縣_降水量,南投縣_降水量,彰化縣_降水量,雲林縣_降水量,嘉義市_降水量,屏東縣_降水量,宜蘭縣_降水量,花蓮縣_降水量,臺東縣_降水量,color,x,y
32.05555555555556,34.5,2.3000000000000003,0.0,0.0,43.0,32.0,14.0,1.0,0.5,0.5,0.1,0.0,32.2,0.5,0.0,"rgb(61,231,194)",24,194
30.988888888888887,11.0,3.0,0.0,0.0,10.5,12.5,7.0,1.5,2.0,0.0,0.7000000000000001,0.0,7.200000000000001,3.0,0.2,"rgb(58,237,197)",18,197
31.488888888888887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(46,245,209)",10,209
31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(42,242,213)",13,213
31.288888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,"rgb(37,236,218)",19,218
31.75,0.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,36.0,"rgb(32,229,223)",26,223
31.43333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3,"rgb(26,223,229)",32,229
31.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(24,220,231)",35,231
32.34444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(25,221,230)",34,230
32.18,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(35,235,220)",20,220
33.2625,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,"rgb(37,238,218)",17,218
32.47777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,"rgb(45,242,210)",13,210
29.0,46.5,5.9,5.0,0.0,44.5,24.0,15.5,3.0,0.0,8.0,2.5,0.0,45.3,6.5,0.9,"rgb(62,230,193)",25,193
31.59,10.5,1.6999999999999995,0.0,0.0,4.5,5.5,1.0,0.0,0.0,0.0,0.0,0.0,35.5,1.5,0.29999999999999993,"rgb(65,231,190)",24,190
31.24,47.5,0.7999999999999999,0.0,0.0,23.0,8.0,7.5,1.5,0.5,3.0,2.5,0.0,61.0,3.0,0.5,"rgb(63,230,192)",25,192
31.077777777777772,13.5,7.399999999999999,0.0,0.0,15.0,14.5,3.0,0.0,0.0,0.0,0.0,0.0,22.4,1.0,3.5,"rgb(62,233,193)",22,193
30.91111111111111,8.0,1.6,0.0,0.0,20.0,14.0,4.0,1.0,0.0,0.0,0.0,0.1,0.9000000000000001,7.0,11.5,"rgb(55,234,200)",21,200
30.04444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.1,"rgb(45,241,210)",14,210
28.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,"rgb(37,236,218)",19,218
27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(33,232,222)",23,222
