DateTime,三重區,南投市,台中市,台北一,台北二,台東市,宜蘭市,屏東市,板橋區,桃農,永靖鄉,溪湖鎮,花蓮市,豐原區,高雄市,鳳山區
2017-11-18,0.0,0.0,0.0,0.3451444395493738,0.07502045440241677,0.16262823336899743,0.36251494744791996,0.0,0.0,0.0,0.0,0.0,0.029517276102964316,0.0,0.0,0.025174649128327772
2017-11-19,0.0,0.0,0.0,0.6170526315789474,0.104,0.2789473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2017-11-21,0.0,0.0,0.0,0.31994937064904017,0.09422684761971732,0.16412347936150762,0.3881583573588355,0.0,0.0,0.0,0.0,0.0,0.033541945010899375,0.0,0.0,0.0
2017-11-22,0.0,0.0,0.0,0.29881077826283303,0.07903055848261328,0.14631943399066688,0.43353906367605,0.0,0.0,0.0,0.0,0.0,0.04230016558783682,0.0,0.0,0.0
2017-11-23,0.0,0.0,0.0,0.2977594339622642,0.1171875,0.1420990566037736,0.4068396226415094,0.0,0.0,0.0,0.0,0.0,0.03611438679245283,0.0,0.0,0.0
2017-11-24,0.0,0.0,0.0,0.2851291745431632,0.05119722747321991,0.16461877756773788,0.45368620037807184,0.0,0.0,0.0,0.0,0.0,0.045368620037807186,0.0,0.0,0.0
2017-11-25,0.0,0.009586136971149415,0.0,0.3631671121762374,0.08996220849847912,0.0,0.4885242879528067,0.0,0.0,0.0,0.0,0.0,0.048760254401327315,0.0,0.0,0.0
2017-11-26,0.0,0.0,0.0,0.565266106442577,0.14145658263305322,0.29327731092436976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2017-11-28,0.0,0.0,0.0,0.33993329075296286,0.055354481583989784,0.14690227804981904,0.4087715563125399,0.0,0.0,0.0,0.0,0.0,0.049038393300688383,0.0,0.0,0.0
2017-11-29,0.0,0.0,0.0,0.327724300095525,0.06392828275405982,0.16165772650451907,0.4056139319567933,0.0,0.0,0.0,0.0,0.0,0.0410757586891028,0.0,0.0,0.0
2017-11-30,0.0,0.01279804982097966,0.0,0.27729107945455933,0.06322846042507808,0.1269139940580483,0.4387902795764455,0.0,0.0,0.0,0.0,0.0,0.08097813666488916,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,0.24055249476216342,0.12027624738108171,0.1330022503297897,0.42833863583456194,0.0,0.0,0.0,0.0,0.0,0.0778303716924032,0.0,0.0,0.0
2017-12-02,0.0,0.0,0.0,0.25939375972726597,0.10094122878529609,0.18335433187578745,0.3927962647298599,0.0,0.0,0.0,0.0,0.0,0.06351441488179056,0.0,0.0,0.0
2017-12-03,0.0,0.04991911254911024,0.0,0.4797781372775595,0.14675294661428243,0.32354980355904783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2017-12-05,0.0,0.01949085123309467,0.0,0.29501458499071864,0.09599575709360912,0.1507557677008751,0.3818615751789976,0.0,0.0,0.0,0.0,0.0,0.056881463802704854,0.0,0.0,0.0
2017-12-06,0.006591760299625468,0.0,0.0,0.2898876404494382,0.07265917602996255,0.15355805243445692,0.4134831460674157,0.0,0.0,0.0,0.0,0.0,0.06382022471910112,0.0,0.0,0.0
2017-12-07,0.0,0.01912445838936202,0.0,0.30673838338562676,0.06424622740176304,0.15404153593306438,0.39593605259226056,0.0,0.0,0.0,0.0,0.0,0.0599133422979232,0.0,0.0,0.0
2017-12-08,0.006045949214026602,0.021916565900846435,0.0,0.2818923821039903,0.04232164449818621,0.14071946795646917,0.43530834340991537,0.0,0.0,0.0,0.0,0.0,0.0717956469165659,0.0,0.0,0.0
2017-12-09,0.005991611743559017,0.018873576992210903,0.0,0.3287896944278011,0.06815458358298382,0.12177950868783703,0.3969442780107849,0.0,0.0,0.0,0.0,0.0,0.05946674655482325,0.0,0.0,0.0
2017-12-10,0.0,0.024093264248704664,0.0,0.5155440414507773,0.13989637305699482,0.3204663212435233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2017-12-12,0.0,0.00986504076180037,0.0,0.33691854490648765,0.05960128793587723,0.15866273891895594,0.39049119682126465,0.0,0.0,0.0,0.0,0.0,0.044461190655614165,0.0,0.0,0.0
2017-12-13,0.009018487900195401,0.01037126108522471,0.0,0.31264091387344056,0.056365549376221256,0.15662107320006013,0.4148504434089884,0.0,0.0,0.0,0.0,0.0,0.04013227115586953,0.0,0.0,0.0
2017-12-14,0.0032378177108628786,0.014570179698882952,0.0,0.26226323457989315,0.08580216933786627,0.1466731423020884,0.42901084668933137,0.0,0.0,0.0,0.0,0.0,0.05844260968107495,0.0,0.0,0.0
